%: table_doi: 10.17182/hepdata.68361.v1/t5
%: name: Table 5
%: description: QpPb CL1.
%: data_file: Table5.yaml
%: keyword reactions: P PB --> CHARGED X
%: keyword observables: DN/DPT
%: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence
%: $p_{T}$ (GeV/c)			$Q_{pPb}$
%: $p_{T}$ (GeV/c)			$Q_{pPb}$
%'$p_{T}$ (GeV/c)'	'$p_{T}$ (GeV/c) LOW'	'$p_{T}$ (GeV/c) HIGH'	'(5-10%)'	'stat +'	'stat -'	'sys +'	'sys -'	'sys	Common syst. unc. on TpA +'	'sys	Common syst. unc. on TpA -'	'sys	Common syst. unc. on Normalization +'	'sys	Common syst. unc. on Normalization -'
0.175	0.15	0.2	0.5584	0.0004	-0.0004	0.0544	-0.0544	0.034	-0.034	0.036	-0.036
0.225	0.2	0.25	0.5486	0.0003	-0.0003	0.0445	-0.0445	0.034	-0.034	0.036	-0.036
0.275	0.25	0.3	0.5506	0.0003	-0.0003	0.0448	-0.0448	0.034	-0.034	0.036	-0.036
0.32499999999999996	0.3	0.35	0.5592	0.0003	-0.0003	0.0478	-0.0478	0.034	-0.034	0.036	-0.036
0.375	0.35	0.4	0.5729	0.0003	-0.0003	0.0509	-0.0509	0.034	-0.034	0.036	-0.036
0.42500000000000004	0.4	0.45	0.5897	0.0003	-0.0003	0.0547	-0.0547	0.034	-0.034	0.036	-0.036
0.475	0.45	0.5	0.6109	0.0004	-0.0004	0.0563	-0.0563	0.034	-0.034	0.036	-0.036
0.525	0.5	0.55	0.6346	0.0004	-0.0004	0.0574	-0.0574	0.034	-0.034	0.036	-0.036
0.575	0.55	0.6	0.6591	0.0004	-0.0004	0.0583	-0.0583	0.034	-0.034	0.036	-0.036
0.625	0.6	0.65	0.6851	0.0005	-0.0005	0.0587	-0.0587	0.034	-0.034	0.036	-0.036
0.675	0.65	0.7	0.7104	0.0005	-0.0005	0.0607	-0.0607	0.034	-0.034	0.036	-0.036
0.725	0.7	0.75	0.7373	0.0006	-0.0006	0.0628	-0.0628	0.034	-0.034	0.036	-0.036
0.775	0.75	0.8	0.7643	0.0006	-0.0006	0.0649	-0.0649	0.034	-0.034	0.036	-0.036
0.825	0.8	0.85	0.7913	0.0007	-0.0007	0.0669	-0.0669	0.034	-0.034	0.036	-0.036
0.875	0.85	0.9	0.8144	0.0008	-0.0008	0.0685	-0.0685	0.034	-0.034	0.036	-0.036
0.925	0.9	0.95	0.8357	0.0008	-0.0008	0.07	-0.07	0.034	-0.034	0.036	-0.036
0.975	0.95	1.0	0.8584	0.0009	-0.0009	0.0717	-0.0717	0.034	-0.034	0.036	-0.036
1.05	1.0	1.1	0.8962	0.0007	-0.0007	0.075	-0.075	0.034	-0.034	0.036	-0.036
1.15	1.1	1.2	0.947	0.0008	-0.0008	0.0798	-0.0798	0.034	-0.034	0.036	-0.036
1.25	1.2	1.3	0.9912	0.0009	-0.0009	0.0876	-0.0876	0.034	-0.034	0.036	-0.036
1.35	1.3	1.4	1.0373	0.0011	-0.0011	0.0915	-0.0915	0.034	-0.034	0.036	-0.036
1.45	1.4	1.5	1.0785	0.0013	-0.0013	0.0905	-0.0905	0.034	-0.034	0.036	-0.036
1.55	1.5	1.6	1.1187	0.0014	-0.0014	0.0936	-0.0936	0.034	-0.034	0.036	-0.036
1.65	1.6	1.7	1.1533	0.0016	-0.0016	0.0981	-0.0981	0.034	-0.034	0.036	-0.036
1.75	1.7	1.8	1.1941	0.0018	-0.0018	0.1009	-0.1009	0.034	-0.034	0.036	-0.036
1.85	1.8	1.9	1.2305	0.0021	-0.0021	0.1027	-0.1027	0.034	-0.034	0.036	-0.036
1.95	1.9	2.0	1.2696	0.0023	-0.0023	0.105	-0.105	0.034	-0.034	0.036	-0.036
2.1	2.0	2.2	1.3068	0.002	-0.002	0.1079	-0.1079	0.034	-0.034	0.036	-0.036
2.3	2.2	2.4	1.355	0.0023	-0.0023	0.1122	-0.1122	0.034	-0.034	0.036	-0.036
2.5	2.4	2.6	1.408	0.0029	-0.0029	0.1162	-0.1162	0.034	-0.034	0.036	-0.036
2.7	2.6	2.8	1.4371	0.0034	-0.0034	0.1184	-0.1184	0.034	-0.034	0.036	-0.036
2.9	2.8	3.0	1.4617	0.0045	-0.0045	0.1203	-0.1203	0.034	-0.034	0.036	-0.036
3.1	3.0	3.2	1.4692	0.0045	-0.0045	0.1209	-0.1209	0.034	-0.034	0.036	-0.036
3.3	3.2	3.4	1.4767	0.005	-0.005	0.1215	-0.1215	0.034	-0.034	0.036	-0.036
3.5	3.4	3.6	1.4808	0.0057	-0.0057	0.1217	-0.1217	0.034	-0.034	0.036	-0.036
3.7	3.6	3.8	1.4807	0.0063	-0.0063	0.1216	-0.1216	0.034	-0.034	0.036	-0.036
3.9	3.8	4.0	1.498	0.0072	-0.0072	0.1231	-0.1231	0.034	-0.034	0.036	-0.036
4.25	4.0	4.5	1.5138	0.0061	-0.0061	0.1244	-0.1244	0.034	-0.034	0.036	-0.036
4.75	4.5	5.0	1.4787	0.0074	-0.0074	0.1214	-0.1214	0.034	-0.034	0.036	-0.036
5.25	5.0	5.5	1.487	0.009	-0.009	0.1294	-0.1294	0.034	-0.034	0.036	-0.036
