0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-14.31	14.39	0.00	0.00	0.00	0.00	-46.43	31.91	-32.83	-11.28	13.36	0.00	0.00	0.00	0.00	-33.98	-8.77	0.00
0.45	-4.00	1.68	-2.83	-3.64	4.57	0.00	-0.98	0.84	-0.69	-11.82	2.88	-8.36	-2.12	2.10	-1.50	0.00	0.00	0.00	0.00	0.00	0.00	-4.18	1.86	-2.96	-12.89	-12.89	-9.45
0.55	-0.30	0.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.69	0.74	0.00	-0.25	0.88	0.00	-12.59	6.71	-8.90	-2.32	1.49	-1.64	-0.76	0.81	0.00	-12.60	-8.92	-1.64
0.70	-0.09	0.36	0.00	0.00	0.00	0.00	-0.52	0.14	-0.37	-0.99	0.31	-0.70	-0.19	0.35	0.00	-5.39	2.93	-3.81	-3.24	0.56	-2.29	-0.78	0.18	-0.55	-9.88	-9.11	-2.49
0.90	-0.30	0.28	-0.21	-0.07	0.38	0.00	0.00	0.00	0.00	-1.06	0.23	-0.75	-0.05	0.29	0.00	-0.62	2.42	0.00	-2.15	0.57	-1.52	-0.68	0.25	-0.48	-8.95	-8.95	-1.77
1.10	-0.44	0.23	-0.31	-0.12	0.31	0.00	-0.21	0.07	-0.15	-0.83	0.21	-0.59	-0.29	0.25	-0.21	-2.54	2.35	-1.80	-1.52	0.51	-1.07	-0.69	0.20	-0.49	-9.06	-8.88	-1.38
1.30	-0.53	0.23	-0.37	-0.30	0.30	-0.21	-0.17	0.08	-0.12	-1.08	0.19	-0.76	-0.39	0.26	-0.28	-5.34	2.44	-3.77	-1.37	0.49	-0.97	-0.72	0.20	-0.51	-9.65	-8.88	-1.43
1.50	-0.39	0.22	-0.27	-0.60	0.25	-0.43	-0.76	0.15	-0.54	-0.60	0.20	-0.42	0.00	0.00	0.00	-0.06	2.73	0.00	-1.88	0.48	-1.33	-0.53	0.20	-0.37	-8.92	-8.92	-1.63
1.70	-0.70	0.26	-0.49	-1.16	0.25	-0.82	0.00	0.00	0.00	-0.95	0.23	-0.67	-0.33	0.35	0.00	0.00	0.00	0.00	-1.53	0.52	-1.09	-0.81	0.22	-0.57	-8.93	-8.93	-1.70
1.90	-0.58	0.30	-0.41	0.00	0.00	0.00	0.00	0.00	0.00	-0.25	0.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1.69	0.21	-1.20	-0.22	0.31	0.00	-8.86	-8.86	-1.26
2.10	0.00	0.00	0.00	-0.18	0.36	0.00	-0.48	0.22	-0.34	-0.88	0.40	-0.62	-0.11	0.47	0.00	-9.24	3.60	-6.53	-1.62	0.13	-1.15	-0.25	0.29	0.00	-11.02	-8.87	-1.35
2.30	-3.44	0.37	-2.43	-3.25	0.34	-2.30	-1.92	0.43	-1.36	-3.65	0.42	-2.58	-2.17	0.42	-1.54	0.00	0.00	0.00	-2.27	0.65	-1.61	-3.05	0.36	-2.16	-10.30	-10.30	-5.41
2.50	0.00	0.00	0.00	0.00	0.00	0.00	-0.36	0.26	-0.25	0.00	0.00	0.00	0.00	0.00	0.00	-11.76	4.56	-8.32	-2.34	0.69	-1.65	0.00	0.00	0.00	-12.20	-8.93	-1.67
2.70	0.00	0.00	0.00	0.00	0.00	0.00	-0.51	0.25	-0.36	0.00	0.00	0.00	0.00	0.00	0.00	-10.58	5.28	-7.48	-1.54	0.14	-1.09	0.00	0.00	0.00	-11.58	-8.84	-1.14
2.90	-0.69	0.57	-0.49	-1.22	1.23	0.00	-0.42	0.32	-0.30	-1.44	0.40	-1.02	-0.87	0.99	0.00	-1.96	6.15	0.00	-2.03	0.89	-1.44	0.00	0.00	0.00	-8.96	-8.96	-1.85
3.10	-2.19	0.49	-1.55	-0.07	0.82	0.00	-2.26	0.66	-1.60	-2.12	0.48	-1.50	0.00	0.00	0.00	0.00	0.00	0.00	-2.71	0.44	-1.92	-1.46	0.72	-1.03	-9.43	-9.43	-3.46
3.30	0.00	0.00	0.00	-0.65	1.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1.11	1.18	0.00	-10.41	7.43	-7.36	-2.85	0.55	-2.01	-1.94	0.80	-1.37	-11.70	-9.10	-2.44
3.50	0.00	0.00	0.00	0.00	0.00	0.00	-2.93	0.73	-2.07	0.00	0.00	0.00	0.00	0.00	0.00	-9.45	8.28	-6.68	-3.75	0.76	-2.65	0.00	0.00	0.00	-11.53	-9.39	-3.37
3.70	-2.73	0.85	-1.93	-4.49	0.57	-3.18	-2.06	0.52	-1.46	-1.67	0.73	-1.18	-1.36	1.29	-0.96	0.00	0.00	0.00	-5.05	0.97	-3.57	-2.60	0.88	-1.84	-10.55	-10.55	-5.87
3.90	-8.10	2.22	-5.72	-2.07	0.86	-1.47	-8.59	2.39	-6.07	-6.26	1.48	-4.42	-4.47	0.63	-3.16	-13.85	10.11	-9.79	-6.00	1.12	-4.24	-8.87	2.37	-6.27	-18.21	-15.35	-12.60
4.25	-1.33	0.56	-0.94	0.00	0.00	0.00	-2.46	0.65	-1.74	-0.07	1.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-5.82	1.04	-4.12	0.00	0.00	0.00	-9.89	-9.89	-4.57
